ID,Age,Education_Level,Years_of_Experience,Current_or_Target_Role,Technical_Skill_Score,Soft_Skill_Score,Domain_Knowledge_Score,Certification_Count,Training_Hours_Last_Year,Skill_Gap_Score,Readiness_Score,Employment_Status,Industry,Annual_Salary_USD,Career_Readiness_Level
48,25.0,High School,0.0,,53.0,75.0,52.0,2.0,404.0,20.18,,,Healthcare,99796.0,Medium
49,52.0,High School,16.3,Business Analyst,65.0,63.0,64.0,4.5,182.0,73.81,42.48,,Finance,29995.0,Low
50,31.0,,0.3,Data Analyst,42.0,76.0,60.0,6.0,,76.66,59.05,Employed,Education,,High
51,36.5,PhD,,,,59.0,41.0,6.0,,47.51,83.9,Unemployed,Healthcare,109153.0,Low
53,57.0,Bachelor,5.3,ML Engineer,71.0,60.0,87.0,1.0,395.0,14.66,40.68,,Education,123582.0,High
54,21.0,Bachelor,0.2,System Admin,43.0,49.5,71.0,6.0,393.0,12.97,43.94,,IT,,Low
55,,Master,5.3,ML Engineer,88.5,68.0,86.0,4.5,289.0,,26.53,Student,,148920.0,Low
57,59.0,Diploma,5.0,Cybersecurity Analyst,43.0,66.0,98.0,2.0,221.0,79.61,44.79,Employed,Finance,96666.0,Low
58,21.0,,6.4,ML Engineer,52.0,56.0,,3.0,360.0,24.25,,Employed,Manufacturing,,High
60,35.0,PhD,1.3,Software Engineer,48.0,74.0,64.0,,189.0,,64.4,Employed,IT,105712.0,High
62,51.0,Bachelor,2.4,,48.0,43.0,74.0,0.0,435.0,71.99,87.48,Unemployed,Retail,27316.0,High
63,27.0,PhD,5.8,,90.5,68.0,87.0,7.0,,20.37,88.43,Unemployed,IT,148001.0,Low
64,53.0,PhD,1.6,Software Engineer,89.0,87.0,,4.0,200.0,48.05,96.82,Unemployed,Healthcare,71103.0,Medium
65,31.0,,7.8,Cloud Engineer,89.0,77.0,67.0,1.0,36.0,,30.18,Unemployed,Retail,36544.0,Medium
67,32.0,Master,6.0,,93.0,44.0,64.5,4.0,334.0,82.18,9.280000000000001,Employed,Education,141089.0,High
68,,High School,,System Admin,48.0,68.5,87.0,,13.0,24.08,53.32,Unemployed,IT,111092.0,Medium
69,33.5,Diploma,0.9,Cloud Engineer,68.0,90.5,46.0,3.0,95.0,,25.8,Student,Retail,125181.0,High
72,38.0,,4.2,System Admin,61.0,64.0,94.0,4.0,285.0,51.45,41.82,Unemployed,Manufacturing,130827.0,Low
73,35.5,Bachelor,2.9,,78.0,96.0,,0.0,186.0,88.31,,Student,Healthcare,29267.0,Low
74,35.0,Diploma,1.1,ML Engineer,49.0,46.0,75.0,0.0,38.0,30.629999999999995,22.98,Employed,,31783.0,High
75,,PhD,7.6,Cybersecurity Analyst,57.0,,56.0,2.0,356.0,11.22,86.74,Employed,Finance,57809.0,Medium
78,58.0,Bachelor,1.2,Cybersecurity Analyst,,51.0,83.0,0.0,264.0,,75.37,,Education,92053.0,High
80,32.0,Diploma,9.9,ML Engineer,47.0,74.0,79.0,7.0,38.5,12.5,,Unemployed,Manufacturing,126880.0,Low
81,,Diploma,11.1,Business Analyst,97.0,78.0,56.0,0.0,119.0,,84.73,Employed,Manufacturing,81441.0,Medium
82,42.0,Bachelor,3.8,,72.5,94.0,80.0,2.5,67.0,63.47,23.32,Student,Finance,112655.0,Low
84,26.0,PhD,2.4,Business Analyst,,,,0.0,,39.11,10.6,Employed,Education,88509.0,Medium
85,,Diploma,5.8,Business Analyst,,85.0,46.0,5.0,300.5,29.91,53.69,,Education,63089.0,Low
86,18.0,,,Cloud Engineer,98.0,55.0,56.0,,75.0,26.16,,Student,Retail,114583.0,High
87,25.0,Diploma,,System Admin,66.5,,41.0,4.0,,68.51,65.0,Unemployed,Healthcare,136567.0,Low
88,41.0,Master,1.6,Software Engineer,,79.0,78.0,2.0,408.0,86.55,28.42,,Healthcare,87004.0,Low
89,28.0,Bachelor,,Software Engineer,74.0,,66.0,3.0,,,30.77,Unemployed,Finance,137816.0,Low
90,34.0,High School,4.1,,60.0,89.0,,5.0,494.0,58.34,55.83,Unemployed,,48342.0,Low
91,25.0,High School,0.2,Software Engineer,52.0,50.0,85.0,5.0,,30.980000000000004,80.46,Employed,Education,25500.0,High
92,52.0,Master,2.8,ML Engineer,79.0,,41.0,7.0,,39.23,8.69,Unemployed,Education,134045.0,Low
93,52.0,Master,,Business Analyst,,99.0,89.0,7.0,229.0,64.39,21.32,Employed,,87052.0,Low
94,50.0,High School,1.0,,45.0,82.0,96.0,7.0,85.0,7.14,16.09,Unemployed,IT,126571.0,Low
95,24.5,,9.3,Software Engineer,84.0,45.0,57.0,2.0,,23.5,92.05,,Manufacturing,115045.0,Low
96,,High School,27.5,Cloud Engineer,73.0,40.0,46.0,3.0,92.0,88.62,41.98,Unemployed,Finance,92364.0,Low
97,56.0,High School,2.5,,79.0,91.0,95.0,4.0,298.0,75.86,,,Finance,50859.0,Low
98,58.0,Bachelor,3.0,ML Engineer,52.0,68.0,68.0,7.0,111.0,48.89,67.19,,,,Low
99,45.0,High School,1.7,Cloud Engineer,54.0,85.0,84.0,,353.0,95.0,3.38,Student,Education,95844.0,Low
100,26.5,High School,,Software Engineer,40.0,55.0,88.0,6.0,83.0,13.91,52.71,Unemployed,Retail,123044.0,Medium
101,26.0,,,,57.0,,73.0,1.0,80.0,65.01,60.71,,IT,,Medium
103,29.0,High School,5.5,System Admin,50.0,,73.0,,314.0,,24.72,Employed,IT,55272.0,Low
104,53.5,,0.6,ML Engineer,88.0,97.0,56.0,3.5,,82.14,66.03,Unemployed,,91618.0,High
107,43.5,Bachelor,5.9,System Admin,43.0,47.0,71.5,2.0,445.0,74.15,92.59,Student,Finance,80987.0,Low
108,54.0,PhD,0.4,Cloud Engineer,72.0,56.0,52.0,1.0,,87.44,49.72,Unemployed,Retail,141582.0,Medium
109,54.5,High School,6.0,,72.0,81.0,91.0,0.0,73.0,35.55,,Employed,,74247.0,Low
110,,Bachelor,4.6,,86.0,46.0,89.0,,123.5,98.17,68.07,Employed,Finance,,Medium
111,39.0,Master,10.1,,54.0,69.5,60.5,1.0,147.0,89.16,,Student,Healthcare,145136.0,Low
112,44.0,High School,0.9,Cloud Engineer,,94.0,,2.0,172.0,45.77,68.81,Student,Retail,149610.0,Medium
113,52.0,Master,0.3,ML Engineer,95.0,44.0,,2.0,,,32.57,Student,Finance,37446.0,Medium
114,20.5,High School,8.4,ML Engineer,70.0,43.0,90.0,,,88.91,32.91,Student,Healthcare,,Low
115,52.0,PhD,0.5,Software Engineer,63.0,,71.0,,,43.36,19.91,Employed,Finance,99454.0,High
116,,PhD,2.4,Software Engineer,47.0,92.0,40.0,,159.5,92.31,51.9,Employed,Retail,36566.0,High
119,18.0,,2.9,System Admin,72.0,,52.0,,,7.47,92.62,Student,Education,131574.0,High
120,24.5,High School,4.8,Software Engineer,,88.0,44.0,0.0,452.0,68.91,56.63,Student,Healthcare,21557.0,Low
122,33.5,Master,,ML Engineer,41.0,68.0,74.0,7.0,100.0,30.2,52.61,,Finance,148396.0,Medium
125,,Diploma,7.9,,79.0,,89.0,4.0,272.0,,,Employed,IT,,Low
128,43.0,,3.5,Data Analyst,73.5,42.0,97.0,5.0,,83.94,19.93,Student,Manufacturing,,High
130,30.0,High School,5.9,ML Engineer,,88.0,50.0,5.0,313.0,26.54,75.08,Student,Healthcare,87330.0,Low
133,49.0,PhD,1.0,ML Engineer,98.0,42.0,51.0,4.0,,95.4,43.51,,Retail,130903.0,Medium
134,21.0,High School,7.1,ML Engineer,77.0,44.0,,6.0,141.0,98.72,,Unemployed,,,Medium
135,,PhD,14.5,Cybersecurity Analyst,,61.0,92.0,0.0,484.0,0.23,48.64,Student,Healthcare,,Medium
136,,,,Cybersecurity Analyst,95.0,,,3.0,491.0,13.74,41.81,Unemployed,Manufacturing,,Medium
137,40.0,PhD,2.6,Cybersecurity Analyst,57.0,62.0,,1.0,354.0,89.11,67.25,Student,Manufacturing,138333.0,Low
138,56.0,PhD,1.9,Cybersecurity Analyst,50.0,91.0,56.0,5.0,293.0,77.9,4.55,Unemployed,Healthcare,43545.0,Medium
139,32.0,High School,4.4,Software Engineer,,59.0,60.0,2.0,,47.96,97.46,Unemployed,IT,91497.0,Low
141,53.0,,4.3,System Admin,76.0,86.0,79.0,,55.5,37.73,,Student,Manufacturing,25750.0,Medium
142,,,8.9,ML Engineer,91.0,,48.0,3.0,318.0,66.31,,Unemployed,Education,35565.0,High
143,49.0,,,Software Engineer,80.0,97.0,,3.0,251.0,41.89,,Employed,Finance,133369.0,Low
144,,Master,1.1,,,,55.0,4.0,,11.26,80.57,Student,Finance,86881.0,Medium
145,39.0,Bachelor,,Cybersecurity Analyst,99.0,81.0,53.5,4.0,132.0,88.42,,,,55987.0,High
146,45.0,High School,3.1,,61.0,,98.5,0.0,,25.33,,Unemployed,,32192.0,Medium
147,,Master,3.0999999999999996,Cloud Engineer,,57.5,51.5,,128.0,32.55,57.03,,Manufacturing,111154.0,High
149,,,1.4,System Admin,83.0,92.0,47.5,5.0,,80.42,67.25,Employed,Finance,131413.0,Low
151,47.5,,,System Admin,42.0,55.0,,2.0,376.0,,37.05,Employed,Retail,144062.0,Low
153,49.5,PhD,5.3,ML Engineer,87.5,70.0,75.0,,322.0,62.32,5.41,Student,Retail,62935.0,Low
154,28.0,,2.8,,85.0,,44.0,5.0,377.0,42.98,71.12,Employed,Manufacturing,120109.0,Medium
155,45.0,Bachelor,0.8,Data Analyst,,52.0,75.0,,6.0,35.77,,Unemployed,Manufacturing,85230.0,Low
158,50.0,Master,,Data Analyst,,92.5,45.0,2.0,40.0,,,Unemployed,,,Low
159,18.0,Diploma,7.1,Business Analyst,92.0,,,,150.0,63.34,,Student,Education,135226.0,High
160,44.0,Master,,Business Analyst,64.5,83.0,94.0,1.0,197.0,,49.9,Employed,Education,63035.0,Low
161,30.0,Diploma,4.4,,,43.0,,2.0,164.0,60.64,,Student,,149577.0,Medium
162,60.5,High School,3.4,ML Engineer,,65.0,56.0,,197.5,1.45,18.74,Unemployed,,95628.0,High
164,56.0,High School,0.8,,53.0,96.0,,7.0,300.0,26.03,85.68,Employed,,,High
165,,Diploma,18.0,Business Analyst,64.5,75.0,65.0,,441.0,,38.26,Employed,Retail,83999.0,High
166,,Bachelor,5.1,Cybersecurity Analyst,77.0,,76.0,3.0,483.0,35.53,41.19,Employed,Finance,90387.0,High
167,44.0,Master,1.1,Business Analyst,81.5,74.0,44.0,,420.0,17.33,66.89,Student,Finance,73711.0,High
170,50.0,Bachelor,,Business Analyst,76.0,,88.0,0.0,70.5,26.18,81.56,Student,Healthcare,145273.0,High
171,61.5,PhD,,Software Engineer,83.0,60.0,83.0,2.0,381.0,82.17,41.66,Employed,IT,,Medium
174,,Master,1.1,ML Engineer,50.5,,71.0,0.0,99.0,,71.83,Employed,,35379.0,Low
175,49.0,Bachelor,11.7,ML Engineer,71.0,77.0,,4.0,277.0,,76.87,Employed,Retail,61452.0,Medium
176,41.0,Bachelor,8.1,,97.0,92.0,50.0,3.0,483.0,59.59,1.15,Unemployed,Retail,,Medium
177,58.0,High School,2.3,Cybersecurity Analyst,56.0,,81.0,7.0,417.0,,,,Manufacturing,145167.0,Low
178,29.0,PhD,3.3,Business Analyst,,,,,,,74.35,Unemployed,,,Medium
179,56.0,High School,3.5,,42.0,67.0,73.0,1.0,181.0,72.39,13.1,Unemployed,Manufacturing,,High
180,21.5,Bachelor,2.4,,86.0,70.0,42.0,,121.0,,,Employed,Finance,147702.0,Medium
181,20.0,Master,,Data Analyst,,87.0,,,418.0,,30.74,Employed,IT,86251.0,Medium
184,19.0,PhD,0.9,Business Analyst,77.0,74.5,45.0,4.5,86.5,44.54,28.14,Student,Education,41166.0,Medium
185,19.0,Diploma,0.2,Data Analyst,98.0,,70.5,5.5,282.5,,74.44,Student,Healthcare,67747.0,High
186,,,2.1,,72.0,48.0,50.5,7.0,10.0,71.4,77.84,Student,Manufacturing,114782.0,Medium
187,,Diploma,6.5,System Admin,72.0,57.0,46.0,6.0,432.0,87.26,47.03,Student,Education,47778.0,High
190,50.0,PhD,2.9,Business Analyst,,54.0,92.5,4.0,276.0,90.11,,Employed,Manufacturing,,Low
191,18.0,,1.0,Data Analyst,69.0,44.0,99.0,,406.0,33.08,33.46,Unemployed,,,High
193,19.0,High School,4.6,Business Analyst,80.0,47.0,60.0,6.0,166.0,29.44,46.9,Unemployed,Healthcare,,Low
194,43.0,High School,,,42.0,,,3.0,178.0,88.5,30.74,Employed,Manufacturing,76455.0,Low
195,49.0,PhD,6.4,ML Engineer,97.0,49.5,,7.5,97.5,74.51,11.13,Employed,Retail,67869.0,Low
196,25.5,High School,4.0,Cybersecurity Analyst,73.0,76.5,96.0,2.0,387.0,48.94,72.02,Employed,IT,144029.0,High
197,49.0,,1.3,Data Analyst,68.0,,94.0,4.0,490.0,,97.69,Student,Manufacturing,,Medium
202,,Bachelor,6.1,Business Analyst,50.0,,,,55.0,,50.93,Employed,IT,33049.0,Low
203,22.0,PhD,3.9,ML Engineer,64.0,62.0,63.0,,296.0,4.46,81.78,Employed,Retail,37337.0,High
204,,High School,3.8,Software Engineer,52.0,99.0,,7.0,482.0,,76.89,Unemployed,Finance,123037.0,Medium
205,,Diploma,,Cloud Engineer,42.0,60.0,99.0,,,67.69,99.82,Student,,125567.0,Low
206,39.0,Bachelor,0.7,Cybersecurity Analyst,99.5,74.0,,,492.0,26.26,25.64,,,,High
207,28.0,Master,,System Admin,59.0,74.0,63.0,,,58.17,39.54,,Retail,82596.0,Low
209,50.0,,3.4,ML Engineer,86.0,,,6.5,401.0,80.62,0.5,,Finance,,Low
210,28.5,Diploma,,System Admin,88.0,50.0,43.0,5.0,390.0,80.66,42.18,Student,Finance,85751.0,High
211,23.0,PhD,6.2,ML Engineer,83.0,69.0,,5.0,491.0,101.85,35.49,Employed,Healthcare,112083.0,Low
213,,PhD,0.5,,47.0,42.0,97.0,5.0,430.0,7.83,28.31,Student,Retail,38030.0,Medium
215,37.0,Bachelor,1.0,Cloud Engineer,98.0,45.0,90.0,,,45.35,18.01,,Retail,,High
216,53.0,Diploma,,Cloud Engineer,78.0,98.0,63.0,2.0,284.0,24.92,24.92,Employed,Retail,94949.0,Low
217,36.0,Diploma,3.5,ML Engineer,94.0,86.5,,,317.0,59.55,87.7,Unemployed,Healthcare,90806.0,Medium
218,43.0,PhD,4.0,Cybersecurity Analyst,92.0,44.0,84.0,7.0,,67.42,89.19,Student,Healthcare,,Low
219,20.0,,4.2,ML Engineer,,70.0,63.0,6.0,157.0,82.6,60.53,Unemployed,Finance,39487.0,High
220,36.0,,3.1,,57.0,60.5,,3.0,456.0,85.97,97.59,Unemployed,Finance,,High
221,37.0,High School,0.3,ML Engineer,47.0,,60.5,5.0,10.0,64.02,3.51,Employed,Finance,76270.0,Medium
222,49.0,High School,0.9,System Admin,49.0,80.0,88.5,7.0,,72.09,93.49,Unemployed,Healthcare,42523.0,Low
223,24.0,High School,4.6,,,68.0,76.0,2.0,370.0,34.31,7.77,Unemployed,Healthcare,115734.0,High
226,57.0,High School,4.9,Business Analyst,95.0,43.0,,,345.0,70.41,56.85,Employed,,122102.0,Low
227,56.0,High School,1.3,Business Analyst,,,44.0,3.0,51.5,21.82,93.32,Unemployed,IT,134034.0,Medium
228,35.0,,8.5,System Admin,58.0,71.0,81.0,5.0,72.0,85.55,9.95,,IT,59052.0,High
229,57.0,PhD,2.5,Cloud Engineer,,81.0,44.0,6.0,158.0,97.41,26.44,Employed,Retail,143973.0,High
230,18.0,Master,6.3,Data Analyst,48.0,,54.0,7.0,38.5,42.85,86.44,Student,Education,125156.0,Medium
231,28.0,Diploma,10.8,Data Analyst,90.0,60.0,,7.0,413.0,7.57,81.39,Student,IT,99607.0,Medium
232,45.0,High School,3.0,Business Analyst,67.0,,94.0,3.5,403.0,76.58,,Employed,IT,121671.0,High
234,40.0,,9.3,Cloud Engineer,70.0,48.0,98.0,,28.0,35.6,51.4,Student,,36455.0,High
235,,High School,1.4,Business Analyst,87.0,58.0,68.0,2.0,314.0,40.01,,Employed,IT,35342.0,Medium
240,33.0,Diploma,0.6,Business Analyst,97.0,68.0,43.0,6.0,236.0,68.85,46.45,Unemployed,Education,140442.0,Medium
242,,PhD,,Business Analyst,77.0,83.0,,2.0,,69.74,33.02,Employed,IT,102921.0,Low
243,,PhD,2.3,,54.0,94.0,,4.0,143.0,27.01,,Student,,,Low
245,24.5,Bachelor,4.1,System Admin,68.0,,99.5,0.0,137.0,93.15,85.93,Employed,Manufacturing,133787.0,High
246,,PhD,13.1,Business Analyst,93.0,90.0,73.0,3.0,,39.34,,Student,Retail,73590.0,Low
247,49.0,Bachelor,3.1,System Admin,47.0,93.0,,,379.0,59.57,29.62,Unemployed,,26909.0,High
248,26.0,,20.3,Cybersecurity Analyst,,74.0,95.0,6.0,60.0,41.06,40.71,,Education,60632.0,Medium
252,33.0,High School,,Cloud Engineer,72.0,74.0,47.5,5.0,453.5,76.76,78.38,Unemployed,,63524.0,Low
253,20.0,Diploma,8.4,System Admin,75.0,97.0,,2.0,,41.19,6.56,Employed,Retail,123297.0,Low
254,37.0,Master,3.7,,62.5,52.0,75.0,0.0,353.0,78.57,41.79,Employed,IT,48904.0,High
256,50.0,PhD,3.5999999999999996,Software Engineer,55.0,66.0,,3.0,143.0,34.26,60.38,Employed,Manufacturing,,High
257,41.0,Bachelor,13.8,System Admin,49.0,50.0,,5.5,261.0,58.92,3.24,Student,Retail,122171.0,High
258,28.0,Diploma,0.4,Business Analyst,83.0,,,6.0,469.0,14.6,79.1,Unemployed,Finance,68825.0,Low
259,,Diploma,14.6,Business Analyst,40.0,65.0,,5.0,462.0,7.17,73.4,Student,Manufacturing,37402.0,High
260,53.0,PhD,0.4,ML Engineer,,54.0,49.5,1.0,75.0,64.06,70.86,Student,Retail,140046.0,High
261,,PhD,,Software Engineer,71.0,53.0,45.0,2.5,235.0,35.57,1.27,Student,Education,54465.0,Medium
262,57.0,Bachelor,4.2,,79.0,70.0,78.0,,,73.45,74.92,Unemployed,Retail,69387.0,Low
263,,,1.0,Data Analyst,56.0,,,3.0,26.0,15.47,,Student,Finance,42683.0,High
265,42.0,High School,0.9,ML Engineer,44.0,51.0,86.0,7.0,242.0,42.25,15.2,Employed,Manufacturing,,Medium
266,54.5,Bachelor,,Business Analyst,80.0,48.0,72.0,3.0,343.0,,22.8,Unemployed,Healthcare,84480.0,High
267,,High School,7.199999999999999,Data Analyst,66.0,,83.0,1.0,,12.08,89.06,Employed,Retail,97393.0,Medium
269,37.5,Master,,Cybersecurity Analyst,42.5,51.0,56.0,2.0,495.0,95.93,44.35,Employed,Finance,125928.0,Medium
270,35.0,Master,9.2,Business Analyst,77.0,,100.5,,431.0,5.89,15.79,,,79119.0,Low
271,,Master,0.5,Business Analyst,94.0,62.5,,,,84.88,57.76,,,69931.0,Low
273,33.0,PhD,1.7,Cloud Engineer,72.0,69.0,48.0,8.5,,53.75,,Student,,85745.0,Low
274,58.0,Diploma,2.7,System Admin,98.0,73.0,73.0,7.0,397.0,61.81,56.32,,Manufacturing,116320.0,Medium
275,53.0,Diploma,9.0,Cloud Engineer,95.0,41.0,42.0,7.0,8.0,72.94,,Employed,,34687.0,Low
276,50.0,,19.3,Cybersecurity Analyst,80.0,,62.0,,157.0,11.81,68.48,Unemployed,,,High
278,50.0,PhD,,,96.0,46.0,60.0,1.0,,35.43,45.27,Unemployed,Healthcare,55298.0,Medium
279,,PhD,1.1,Data Analyst,58.0,77.0,40.0,3.0,375.0,10.62,,Student,,67120.0,High
280,38.0,Diploma,10.3,ML Engineer,56.5,74.0,44.0,2.0,,39.44,34.74,Unemployed,Healthcare,148264.0,Low
282,25.0,High School,,System Admin,81.0,99.0,90.0,6.0,491.0,93.55,15.92,Employed,Finance,98650.0,Low
283,24.0,Diploma,2.0,Cybersecurity Analyst,67.5,,63.0,,218.0,13.12,73.19,Student,Finance,93014.0,High
284,20.0,,5.5,System Admin,58.0,42.0,,,487.5,91.29,,Unemployed,Healthcare,85891.0,Low
285,34.0,Master,2.1,,,76.0,87.0,,183.0,96.41,58.85,Unemployed,Retail,,Low
286,50.0,,11.7,Data Analyst,,40.0,96.0,3.0,394.0,,38.65,Unemployed,Manufacturing,116697.0,Medium
287,,PhD,,ML Engineer,47.0,70.0,73.0,,346.0,,63.47999999999999,,Healthcare,120380.0,Low
288,39.0,Master,2.2,Software Engineer,,97.0,51.5,6.0,,45.48,,Employed,Education,65392.0,Low
291,55.0,Diploma,7.1,Software Engineer,81.0,,57.0,0.0,440.0,1.24,56.47,Student,Retail,132073.0,Medium
293,,Bachelor,2.8,Cloud Engineer,44.0,88.0,74.0,0.0,243.0,81.67,11.98,Employed,Manufacturing,119996.0,High
295,46.5,High School,23.5,Business Analyst,55.0,49.0,65.0,5.5,,21.49,39.03,Employed,Healthcare,64625.0,Medium
296,,Master,,,96.0,,,7.0,,91.69,85.58,Student,Manufacturing,119037.0,High
297,38.0,Bachelor,16.9,,74.0,53.0,96.0,2.0,56.0,10.98,87.52,Unemployed,Manufacturing,55938.0,Low
298,47.0,Diploma,3.2,Cybersecurity Analyst,,83.0,67.0,0.0,281.0,71.89,39.12,Employed,Manufacturing,51352.0,High
299,50.0,Master,0.9,Data Analyst,50.0,68.0,59.0,7.0,,70.75,39.91,Unemployed,Manufacturing,113290.0,Low
300,45.0,,,Cloud Engineer,75.0,,,,,73.73,48.37,,Education,147287.0,Medium
301,50.0,Bachelor,3.2,Software Engineer,69.0,79.0,48.0,2.0,439.0,5.08,66.4,Employed,IT,65313.0,Low
302,22.0,Master,,Cloud Engineer,89.0,52.0,96.0,,,,98.44,Student,IT,28140.0,Low
303,36.0,Master,3.1,Cybersecurity Analyst,44.5,,65.5,4.0,476.0,,75.44,Employed,Manufacturing,76005.0,Low
304,21.0,Diploma,,ML Engineer,77.0,77.0,87.0,,,56.08,89.57,Student,Manufacturing,92674.0,Medium
305,52.0,,,ML Engineer,91.0,78.0,54.0,4.0,,36.34,30.91,Employed,,35783.0,Low
306,34.0,Bachelor,5.2,Software Engineer,63.0,,86.0,3.0,129.0,17.81,76.46,Employed,Finance,30509.0,Low
307,45.0,Master,2.6,Business Analyst,44.0,94.0,99.5,0.0,,39.95,,Student,Finance,39553.0,Medium
308,47.0,,8.4,System Admin,54.5,68.0,72.0,6.5,,98.74,36.39,,Manufacturing,,Low
310,23.0,High School,2.3,,61.0,51.0,,5.0,177.0,,81.37,Unemployed,Finance,145577.0,Medium
311,54.5,Diploma,3.2,Data Analyst,,,90.0,0.0,272.0,2.67,4.76,Employed,Finance,78510.0,High
313,54.0,High School,,,83.0,89.0,55.0,1.0,55.0,74.43,46.23,Employed,Education,115130.0,Medium
315,46.0,Bachelor,3.4,Software Engineer,55.0,99.0,,,127.0,38.75,36.17,Student,,130126.0,Medium
