ID,Age,Education_Level,Years_of_Experience,Current_or_Target_Role,Technical_Skill_Score,Soft_Skill_Score,Domain_Knowledge_Score,Certification_Count,Training_Hours_Last_Year,Skill_Gap_Score,Readiness_Score,Employment_Status,Industry,Annual_Salary_USD,Career_Readiness_Level
0x2d,37-42,TWFzdGVy,5.7,Data Analyst,75,75-80,83,NULL,136,96.2,MISSING,Student,Finance,82834,Low
46,45,Master,0.9,nan,58-63,NULL,Val_40,1-6,463,"{""v"": 44.64}",39.4,nan,nan,MISSING,NULL
47,24,loohcS hgiH,4.2,Q2xvdWQgRW5naW5lZXI=,57,,64,NULL,118,Val_10.63,79.41-84.41,MISSING,,$28937,nan
48,25,High School,0.0,,53,75,52,2,404,"{""v"": 20.18}",NULL,nan,erachtlaeH,99796,TWVkaXVt
49,Val_52,SGlnaCBTY2hvb2w=,13.8-18.8,Business Analyst,65,63,64,2-7,182,73.81,42.48,MISSING,Finance,29995,woL
50,31,MISSING,"{""v"": 0.3}",RGF0YSBBbmFseXN0,42,76,"{""v"": 60}",6,,76.66,59.05,Employed,Education,nan,High
0x33,34-39,PhD,MISSING,?,MISSING,59,41,6,,"{""v"": 47.51}",83.9,Unemployed,Healthcare,$109153,TG93
52,53,QmFjaGVsb3I=,6.1-11.1,ML Engineer,77,"{""v"": 82}","{""v"": 62}",?,59,37.77,,RW1wbG95ZWQ=,Retail,111683,?
53,57,Bachelor,5.3,ML Engineer,71,"{""v"": 60}",87,1,395,14.66,40.68,,Education,123582,SGlnaA==
54,21,QmFjaGVsb3I=,0.2,System Admin,43,47-52,71,6,393,"{""v"": 12.97}","{""v"": 43.94}",,IT,NULL,Low
55,MISSING,Master,"{""v"": 5.3}",ML Engineer,86-91,68,86,2-7,289,nan,26.53,U3R1ZGVudA==,?,148920 USD,TG93
0x38,23-28,Bachelor,4.7,?,NULL,53,90,4,"{""v"": 59}",49.37,nan,NULL,Healthcare,20051,NULL
0x39,59,Diploma,5.0,Cybersecurity Analyst,43,66,98,2,Val_221,79.61,Val_44.79,RW1wbG95ZWQ=,Finance,96666,Low
0x3a,21,?,3.9-8.9,reenignE LM,52,56,MISSING,3,360,24.25,NULL,RW1wbG95ZWQ=,TWFudWZhY3R1cmluZw==,nan,hgiH
0x3b,46,TWFzdGVy,2.0,Software Engineer,63,MISSING,82,6,295,81.41,13.26,,RWR1Y2F0aW9u,MISSING,?
60,35,UGhE,1.3,Software Engineer,48,74,64,?,189,nan,64.4,Employed,SVQ=,105712,High
61,43,nan,3.0,Q2xvdWQgRW5naW5lZXI=,62,69,54-59,6,192,nan,83.96,Student,UmV0YWls,139377,MISSING
0x3e,"{""v"": 51}",QmFjaGVsb3I=,"{""v"": 2.4}",,"{""v"": 48}",43,74,0,435,71.99,87.48,Unemployed,UmV0YWls,27316 USD,SGlnaA==
63,27,PhD,5.8,MISSING,88-93,68,87,7,NULL,20.37,88.43,VW5lbXBsb3llZA==,SVQ=,$148001,Low
64,53,PhD,1.6,Software Engineer,Val_89,Val_87,?,4,200,48.05,96.82,Unemployed,Healthcare,71103,Medium
65,"{""v"": 31}",NULL,7.8,reenignE duolC,89,77,67,1,"{""v"": 36}",nan,30.18,deyolpmenU,Retail,36544,Medium
0x42,MISSING,High School,19.5,NULL,66,40,Val_60,1-6,"{""v"": 347}",Val_29.74,49.84-54.84,Employed,MISSING,47305,NULL
67,32,retsaM,6.0,,Val_93,"{""v"": 44}",62-67,4,334,82.18,6.78-11.780000000000001,Employed,RWR1Y2F0aW9u,141089,SGlnaA==
68,?,loohcS hgiH,,System Admin,Val_48,66-71,87,?,13,Val_24.08,53.32,Unemployed,IT,111092,Medium
69,31-36,Diploma,0.9,Cloud Engineer,68,88-93,46,3,95,,"{""v"": 25.8}",Student,UmV0YWls,125181 USD,High
70,40,Bachelor,NULL,RGF0YSBBbmFseXN0,"{""v"": 73}",53,43,3,70,Val_21.45,95.24,Employed,nan,91385,nan
71,57,Master,1.6,,84,44,71,"{""v"": 7}","{""v"": 3}",70.43-75.43,82.95,tnedutS,Healthcare,88731,nan
72,38,nan,4.2,System Admin,"{""v"": 61}","{""v"": 64}",94,Val_4,Val_285,51.45,41.82,Unemployed,Manufacturing,130827,Low
73,33-38,QmFjaGVsb3I=,2.9,,78,Val_96,?,0,186,88.31,,Student,Healthcare,29267,Low
74,35,Diploma,1.1,ML Engineer,49,46,75,0,38,28.13-33.129999999999995,22.98,Employed,nan,$31783,High
75,?,PhD,7.6,Q3liZXJzZWN1cml0eSBBbmFseXN0,"{""v"": 57}",,56,Val_2,356,11.22,86.74,Employed,Finance,57809,Medium
76,43,Bachelor,0.6,ML Engineer,?,52-57,78,MISSING,335,4.76,17.07,Employed,RWR1Y2F0aW9u,129723,nan
77,42,,2.8,MISSING,88-93,54,,Val_7,?,nan,38.46,Student,UmV0YWls,MISSING,NULL
78,58,Bachelor,1.2,Q3liZXJzZWN1cml0eSBBbmFseXN0,MISSING,51,83,0,264,MISSING,"{""v"": 75.37}",nan,Education,92053,High
79,46,High School,"{""v"": 4.0}",Software Engineer,77,NULL,52,,400,69.45,14.81,RW1wbG95ZWQ=,Retail,122705,NULL
80,32,RGlwbG9tYQ==,9.9,reenignE LM,47,74,"{""v"": 79}",7,36-41,12.5,,deyolpmenU,Manufacturing,126880,woL
81,nan,Diploma,Val_11.1,Business Analyst,97,78,56,0,119,,84.73,Employed,TWFudWZhY3R1cmluZw==,81441,Medium
0x52,42,Bachelor,3.8,nan,70-75,94,Val_80,0-5,67,63.47,20.82-25.82,Student,Finance,112655,Low
0x53,24,Diploma,1.4,nan,82,82,91,,320,15.98,48.32,VW5lbXBsb3llZA==,Education,96231,MISSING
0x54,26,UGhE,2.4,Business Analyst,MISSING,,NULL,0,NULL,36.61-41.61,Val_10.6,Employed,Education,88509,Medium
85,?,Diploma,"{""v"": 5.8}",Business Analyst,nan,85,46,5,298-303,Val_29.91,53.69,,Education,63089,TG93
86,18,NULL,NULL,Cloud Engineer,98,55,56,nan,75,26.16,nan,Student,Retail,114583,hgiH
87,25,Diploma,,System Admin,64-69,?,41,"{""v"": 4}",,68.51,65.0,Unemployed,Healthcare,$136567,woL
88,41,TWFzdGVy,"{""v"": 1.6}",Software Engineer,?,Val_79,78,"{""v"": 2}",408,84.05-89.05,28.42,?,SGVhbHRoY2FyZQ==,87004,Low
89,28,Bachelor,,Software Engineer,74,MISSING,66,3,NULL,nan,30.77,deyolpmenU,Finance,137816,TG93
90,34,SGlnaCBTY2hvb2w=,1.6-6.6,,60,89,,5,Val_494,Val_58.34,55.83,VW5lbXBsb3llZA==,?,48342 USD,Low
0x5b,25,High School,0.2,reenignE erawtfoS,"{""v"": 52}",50,85,5,MISSING,28.48-33.480000000000004,80.46,Employed,noitacudE,25500,High
92,"{""v"": 52}",Master,0.3-5.3,TUwgRW5naW5lZXI=,79,MISSING,Val_41,7,NULL,39.23,Val_8.69,Unemployed,Education,134045,Low
93,"{""v"": 52}",TWFzdGVy,MISSING,Business Analyst,?,99,89,7,229,64.39,21.32,deyolpmE,MISSING,87052,Low
94,50,SGlnaCBTY2hvb2w=,1.0,?,45,82,96,7,85,7.14,"{""v"": 16.09}",Unemployed,IT,126571,Low
95,22-27,nan,9.3,Software Engineer,Val_84,Val_45,"{""v"": 57}","{""v"": 2}",?,23.5,92.05,?,Manufacturing,115045,TG93
96,?,High School,27.5,Cloud Engineer,Val_73,40,46,"{""v"": 3}",92,"{""v"": 88.62}",41.98,Unemployed,Finance,92364,Low
97,56,High School,2.5,nan,79,91,Val_95,4,298,75.86,nan,MISSING,ecnaniF,50859,TG93
98,58,QmFjaGVsb3I=,"{""v"": 3.0}",ML Engineer,52,68,68,7,111,Val_48.89,67.19,?,nan,nan,Low
99,45,SGlnaCBTY2hvb2w=,1.7,Cloud Engineer,54,85,"{""v"": 84}",MISSING,353,95.0,3.38,Student,RWR1Y2F0aW9u,95844,TG93
100,24-29,SGlnaCBTY2hvb2w=,,reenignE erawtfoS,40,55,88,Val_6,83,"{""v"": 13.91}",52.71,VW5lbXBsb3llZA==,UmV0YWls,123044,Medium
0x65,26,NULL,NULL,nan,57,,73,1,80,65.01,Val_60.71,nan,SVQ=,NULL,TWVkaXVt
102,25,Master,Val_9.4,Cloud Engineer,NULL,76,MISSING,6,406,nan,13.6,Student,erachtlaeH,,?
103,29,loohcS hgiH,5.5,System Admin,50,?,"{""v"": 73}",MISSING,314,NULL,24.72,RW1wbG95ZWQ=,SVQ=,55272 USD,TG93
104,51-56,,0.6,ML Engineer,88,97,56,1-6,MISSING,82.14,66.03,Unemployed,?,91618 USD,SGlnaA==
105,Val_50,?,4.7,?,83-88,58,58-63,6,,1.13,Val_69.25,NULL,RWR1Y2F0aW9u,102912,nan
106,Val_40,SGlnaCBTY2hvb2w=,"{""v"": 5.1}",Cybersecurity Analyst,67,,90,3,,29.07,28.89,Unemployed,RmluYW5jZQ==,71279,
107,41-46,rolehcaB,"{""v"": 5.9}",nimdA metsyS,43,47,69-74,2,445,Val_74.15,92.59,U3R1ZGVudA==,Finance,$80987,TG93
108,54,DhP,0.4,Q2xvdWQgRW5naW5lZXI=,72,56,52,Val_1,?,87.44,49.72,Unemployed,UmV0YWls,141582 USD,Medium
109,52-57,High School,6.0,NULL,72,Val_81,91,0,73,33.05-38.05,,Employed,nan,74247,Low
0x6e,nan,Bachelor,4.6,,Val_86,46,89,MISSING,121-126,98.17,68.07,deyolpmE,RmluYW5jZQ==,?,Medium
0x6f,"{""v"": 39}",Master,10.1,NULL,54,67-72,58-63,1,147,89.16,NULL,Student,SGVhbHRoY2FyZQ==,145136,TG93
112,44,loohcS hgiH,0.9,reenignE duolC,MISSING,94,?,2,172,45.77,68.81,Student,Retail,149610,TWVkaXVt
0x71,52,Master,0.3,TUwgRW5naW5lZXI=,95,44,MISSING,2,NULL,NULL,32.57,Student,RmluYW5jZQ==,37446,Medium
114,18-23,High School,8.4,TUwgRW5naW5lZXI=,70,43,"{""v"": 90}",?,MISSING,88.91,32.91,Student,SGVhbHRoY2FyZQ==,MISSING,Low
115,"{""v"": 52}",PhD,0.5,Software Engineer,63,?,71,?,NULL,43.36,19.91,Employed,Finance,99454,High
116,nan,PhD,2.4,U29mdHdhcmUgRW5naW5lZXI=,47,92,40,MISSING,157-162,92.31,51.9,RW1wbG95ZWQ=,UmV0YWls,36566,High
0x75,31-36,Bachelor,10.2,ML Engineer,86,Val_47,"{""v"": 74}",Val_4,453-458,82.0,29.56,Employed,TWFudWZhY3R1cmluZw==,29127,MISSING
0x76,20,RGlwbG9tYQ==,1.6-6.6,?,92,Val_46,Val_67,Val_1,62,5.29,20.58,Student,IT,38167,nan
119,18,nan,2.9,System Admin,72,MISSING,52,MISSING,NULL,7.47,"{""v"": 92.62}",U3R1ZGVudA==,noitacudE,131574 USD,hgiH
120,22-27,High School,4.8,U29mdHdhcmUgRW5naW5lZXI=,NULL,88,44,0,452,68.91,54.13-59.13,Student,SGVhbHRoY2FyZQ==,21557,Low
0x79,"{""v"": 43}",retsaM,Val_5.1,Cloud Engineer,56,75-80,MISSING,6-11,24,Val_34.95,nan,RW1wbG95ZWQ=,Healthcare,107000,?
122,31-36,Master,MISSING,ML Engineer,Val_41,68,74,7,100,30.2,Val_52.61,MISSING,Finance,$148396,Medium
0x7b,56,High School,0.3,NULL,68,Val_80,99,"{""v"": 0}",80,8.01,35.91,U3R1ZGVudA==,Education,92377,NULL
124,44,Diploma,7.5,,44,49,42,Val_7,13,Val_77.87,"{""v"": 47.44}",?,IT,59971,nan
125,MISSING,Diploma,7.9,nan,79,NULL,89,"{""v"": 4}",272,?,nan,Employed,SVQ=,MISSING,Low
126,32,Diploma,0.6,Data Analyst,92,79,50,5,25,28.42-33.42,15.66,RW1wbG95ZWQ=,RWR1Y2F0aW9u,56278,nan
127,,SGlnaCBTY2hvb2w=,6.7-11.7,nimdA metsyS,,57,MISSING,7,Val_214,15.06,?,NULL,UmV0YWls,$136216,nan
128,43,,3.5,RGF0YSBBbmFseXN0,71-76,"{""v"": 42}",Val_97,5,?,83.94,"{""v"": 19.93}",U3R1ZGVudA==,Manufacturing,,High
0x81,59,UGhE,"{""v"": 0.1}",Data Analyst,"{""v"": 91}",MISSING,42,4,279-284,88.59,88.26,?,Healthcare,108873,NULL
130,30,SGlnaCBTY2hvb2w=,5.9,ML Engineer,,88,50,5,313,24.04-29.04,75.08,Student,Healthcare,87330,Low
131,"{""v"": 49}",PhD,3.1,ML Engineer,NULL,78,nan,6,287,51.24,54.74,tnedutS,noitacudE,51996 USD,?
132,Val_56,NULL,0.7,TUwgRW5naW5lZXI=,91,"{""v"": 90}",60,2,426,51.25,nan,nan,Healthcare,nan,nan
133,Val_49,PhD,1.0,TUwgRW5naW5lZXI=,98,42,51,4,,"{""v"": 95.4}",43.51,,liateR,130903,Medium
134,21,High School,7.1,TUwgRW5naW5lZXI=,Val_77,44,?,6,141,Val_98.72,nan,Unemployed,NULL,MISSING,Medium
135,NULL,PhD,14.5,Cybersecurity Analyst,NULL,61,92,Val_0,484,0.23,48.64,U3R1ZGVudA==,Healthcare,NULL,Medium
0x88,?,MISSING,?,Cybersecurity Analyst,95,MISSING,NULL,3,491,13.74,41.81,Unemployed,gnirutcafunaM,,Medium
0x89,40,UGhE,2.6,Cybersecurity Analyst,57,"{""v"": 62}",NULL,1,354,89.11,67.25,U3R1ZGVudA==,Manufacturing,138333 USD,Low
138,56,DhP,1.9,Q3liZXJzZWN1cml0eSBBbmFseXN0,50,91,"{""v"": 56}",Val_5,293,"{""v"": 77.9}",4.55,Unemployed,Healthcare,43545 USD,TWVkaXVt
139,"{""v"": 32}",SGlnaCBTY2hvb2w=,4.4,Software Engineer,nan,59,60,2,,47.96,"{""v"": 97.46}",VW5lbXBsb3llZA==,IT,91497,Low
140,"{""v"": 46}",QmFjaGVsb3I=,Val_1.1,tsylanA ytirucesrebyC,65,48-53,67,3,NULL,22.11,Val_71.71,Unemployed,TI,46002,MISSING
141,53,NULL,4.3,System Admin,76,86,79,NULL,53-58,37.73,,Student,Manufacturing,25750,Medium
0x8e,MISSING,,8.9,ML Engineer,Val_91,MISSING,Val_48,3,318,66.31,MISSING,Unemployed,Education,35565,High
143,49,,MISSING,Software Engineer,80,97,nan,3,251,"{""v"": 41.89}",MISSING,Employed,Finance,$133369,TG93
144,,TWFzdGVy,1.1,NULL,nan,?,55,"{""v"": 4}",NULL,11.26,80.57,tnedutS,Finance,$86881,TWVkaXVt
145,"{""v"": 39}",QmFjaGVsb3I=,NULL,Cybersecurity Analyst,99,81,51-56,4,132,88.42,NULL,MISSING,?,55987,High
146,45,SGlnaCBTY2hvb2w=,"{""v"": 3.1}",MISSING,61,MISSING,96-101,Val_0,MISSING,25.33,?,Unemployed,nan,32192 USD,Medium
147,nan,Master,0.6-5.6,Cloud Engineer,MISSING,55-60,49-54,,128,32.55,57.03,MISSING,gnirutcafunaM,111154,High
148,59,UGhE,2.0,U3lzdGVtIEFkbWlu,,70,54,"{""v"": 3}",170-175,?,37.03,U3R1ZGVudA==,SVQ=,74412,
149,nan,NULL,1.4,U3lzdGVtIEFkbWlu,83,92,45-50,5,nan,80.42,Val_67.25,RW1wbG95ZWQ=,ecnaniF,$131413,Low
150,45,Diploma,9.3-14.3,Q3liZXJzZWN1cml0eSBBbmFseXN0,Val_44,93,99,1,488,2.5,NULL,VW5lbXBsb3llZA==,RWR1Y2F0aW9u,?,nan
0x97,45-50,NULL,?,System Admin,42,55,?,2,Val_376,,Val_37.05,RW1wbG95ZWQ=,Retail,144062,Low
0x98,NULL,amolpiD,3.6,Q2xvdWQgRW5naW5lZXI=,74,82,83,"{""v"": 3}",?,52.21,58.15,nan,Retail,137664,nan
0x99,47-52,UGhE,5.3,TUwgRW5naW5lZXI=,85-90,70,Val_75,,322,62.32,Val_5.41,Student,Retail,62935,TG93
154,28,nan,0.3-5.3,?,Val_85,nan,44,"{""v"": 5}",377,42.98,"{""v"": 71.12}",RW1wbG95ZWQ=,Manufacturing,120109,Medium
0x9b,45,Bachelor,Val_0.8,RGF0YSBBbmFseXN0,,52,75,nan,6,35.77,NULL,deyolpmenU,Manufacturing,85230,Low
156,42-47,nan,7.7,Cybersecurity Analyst,84,59,78,,400,NULL,78.89-83.89,Employed,UmV0YWls,$45049,?
157,56,QmFjaGVsb3I=,2.1,Cloud Engineer,"{""v"": 54}","{""v"": 73}",nan,"{""v"": 2}",nan,NULL,91.65,Student,MISSING,132552 USD,
158,50,Master,,Data Analyst,,90-95,45,2,40,,NULL,deyolpmenU,?,,TG93
0x9f,18,Diploma,7.1,QnVzaW5lc3MgQW5hbHlzdA==,Val_92,nan,MISSING,NULL,150,63.34,MISSING,U3R1ZGVudA==,Education,135226,High
160,44,Master,NULL,QnVzaW5lc3MgQW5hbHlzdA==,62-67,83,"{""v"": 94}",Val_1,197,MISSING,47.4-52.4,Employed,Education,63035,Low
161,30,RGlwbG9tYQ==,4.4,?,?,43,?,2,164,60.64,NULL,U3R1ZGVudA==,nan,149577,Medium
162,58-63,High School,3.4,TUwgRW5naW5lZXI=,MISSING,65,56,nan,195-200,1.45,18.74,Unemployed,?,95628,High
163,"{""v"": 20}",TWFzdGVy,2.5,Cloud Engineer,nan,91-96,59,"{""v"": 7}",153,67.98,80.05,Employed,RWR1Y2F0aW9u,NULL,nan
0xa4,Val_56,SGlnaCBTY2hvb2w=,Val_0.8,?,53,Val_96,NULL,7,300,26.03,85.68,Employed,NULL,MISSING,High
165,nan,Diploma,Val_18.0,Business Analyst,62-67,75,65,nan,441,nan,38.26,Employed,Retail,83999,High
166,nan,Bachelor,Val_5.1,Cybersecurity Analyst,77,,76,3,483,35.53,41.19,Employed,Finance,90387,High
167,44,TWFzdGVy,1.1,Business Analyst,79-84,74,Val_44,NULL,"{""v"": 420}",17.33,"{""v"": 66.89}",Student,Finance,$73711,High
0xa8,26,Master,9.1,Software Engineer,48,60,52,4,nan,76.37,47.67,Unemployed,gnirutcafunaM,?,NULL
169,54,Bachelor,NULL,Business Analyst,54,69,MISSING,4,?,"{""v"": 9.09}",nan,deyolpmE,Education,108437,MISSING
170,50,Bachelor,NULL,Business Analyst,76,?,88,0,68-73,"{""v"": 26.18}",81.56,U3R1ZGVudA==,SGVhbHRoY2FyZQ==,145273,High
171,59-64,PhD,?,Software Engineer,83,"{""v"": 60}",83,2,381,82.17,39.16-44.16,Employed,TI,,Medium
172,,PhD,0.1,Q2xvdWQgRW5naW5lZXI=,nan,77,42,3-8,214,53.12,57.55,Employed,Education,48028,nan
173,32,RGlwbG9tYQ==,6.2,System Admin,83,"{""v"": 62}",62,,458,99.17,53.21,U3R1ZGVudA==,,111624,MISSING
0xae,,Master,1.1,TUwgRW5naW5lZXI=,48-53,nan,71,"{""v"": 0}",99,,71.83,Employed,?,$35379,Low
175,49,QmFjaGVsb3I=,9.2-14.2,TUwgRW5naW5lZXI=,71,77,MISSING,4,277,nan,76.87,Employed,Retail,61452,Medium
0xb0,41,Bachelor,5.6-10.6,nan,97,92,50,3,Val_483,"{""v"": 59.59}",1.15,VW5lbXBsb3llZA==,Retail,,Medium
177,58,High School,2.3,Cybersecurity Analyst,56,NULL,81,7,Val_417,NULL,?,MISSING,Manufacturing,145167,Low
0xb2,29,UGhE,3.3,Business Analyst,?,,NULL,MISSING,MISSING,?,Val_74.35,VW5lbXBsb3llZA==,?,MISSING,TWVkaXVt
179,56,High School,3.5,,42,67,Val_73,1,181,Val_72.39,10.6-15.6,Unemployed,Manufacturing,,High
180,19-24,QmFjaGVsb3I=,2.4,,86,70,Val_42,?,"{""v"": 121}",nan,MISSING,Employed,Finance,$147702,TWVkaXVt
181,20,Master,?,Data Analyst,MISSING,87,?,,Val_418,MISSING,"{""v"": 30.74}",Employed,IT,$86251,Medium
182,54,?,25.9,Cloud Engineer,MISSING,66,"{""v"": 52}",Val_1,469,5.71,3.97,RW1wbG95ZWQ=,Manufacturing,nan,?
0xb7,34,SGlnaCBTY2hvb2w=,6.9-11.9,Q2xvdWQgRW5naW5lZXI=,nan,83,96,?,317,Val_50.96,38.08,nan,Healthcare,MISSING,MISSING
184,Val_19,PhD,0.9,Business Analyst,77,72-77,45,2-7,84-89,42.04-47.04,28.14,Student,Education,41166,Medium
185,"{""v"": 19}",Diploma,0.2,Data Analyst,98,,68-73,3-8,280-285,?,74.44,tnedutS,erachtlaeH,67747,SGlnaA==
0xba,MISSING,,2.1,nan,Val_72,"{""v"": 48}",48-53,7,10,71.4,"{""v"": 77.84}",U3R1ZGVudA==,Manufacturing,$114782,muideM
187,,Diploma,4.0-9.0,System Admin,"{""v"": 72}","{""v"": 57}",46,6,Val_432,87.26,44.53-49.53,Student,Education,47778,SGlnaA==
188,54,PhD,13.9,RGF0YSBBbmFseXN0,NULL,61,Val_69,7,nan,26.28,13.75,VW5lbXBsb3llZA==,Manufacturing,27628 USD,?
189,49-54,loohcS hgiH,0.7,MISSING,"{""v"": 54}",51,42,2-7,186,"{""v"": 19.67}",82.77,Student,SGVhbHRoY2FyZQ==,24836 USD,?
190,50,PhD,2.9,QnVzaW5lc3MgQW5hbHlzdA==,NULL,54,90-95,4,276,87.61-92.61,MISSING,Employed,Manufacturing,?,Low
0xbf,18,NULL,1.0,Data Analyst,69,44,99,NULL,406,33.08,33.46,Unemployed,,nan,hgiH
