ID,Age,Education_Level,Years_of_Experience,Current_or_Target_Role,Technical_Skill_Score,Soft_Skill_Score,Domain_Knowledge_Score,Certification_Count,Training_Hours_Last_Year,Skill_Gap_Score,Readiness_Score,Employment_Status,Industry,Annual_Salary_USD,Career_Readiness_Level
26.0,42.0,2.0,3.8,Unknown,85.0,49.5,70.0,5.0,407.0,41.38,35.6,Student,3.0,131411.0,Low
27.0,44.0,Bachelor,3.8,ML Engineer,54.0,84.0,65.0,5.0,403.0,49.66,49.81,Unemployed,Education,69502.0,High
28.0,61.5,Master,3.8,Data Analyst,70.0,73.0,64.5,2.0,136.0,49.66,46.58,Unknown,Retail,143765.0,High
29.0,45.0,Bachelor,4.5,5.0,54.5,64.0,90.5,5.0,381.0,53.11,49.81,Unemployed,Education,34584.0,Unknown
0.0,33.0,rolehcaB,0.8,Unknown,70.0,70.0,56.0,2.0,206.0,62.25,59.46,Employed,Unknown,108546.0,Medium
31.0,32.0,3.0,3.8,ML Engineer,70.0,70.0,51.0,4.0,252.0,18.98,18.29,Student,Education,134027.0,High
32.0,20.0,Master,1.8,3.0,50.0,72.0,70.0,4.0,252.0,37.81,78.71,3.0,IT,102885.0,Low
0.0,54.0,Master,7.2,Unknown,74.0,61.5,79.0,2.0,318.0,82.78,29.12,Unknown,Retail,119862.0,Medium
34.0,24.0,Master,8.0,Unknown,53.0,57.0,89.0,4.0,0.0,11.97,69.31,3.0,Finance,84999.0,Medium
35.0,40.5,Diploma,21.3,5.0,57.0,43.0,70.0,2.0,131.0,0.25,94.47,Unknown,Education,113362.0,Unknown
36.0,39.0,Unknown,0.1,Unknown,47.0,76.0,70.0,1.0,285.0,49.66,26.31,Unemployed,Retail,112591.0,Low
37.0,56.0,9.0,8.3,Data Analyst,70.0,72.0,90.0,6.0,123.0,30.89,62.68,Unknown,Retail,84999.0,High
0.0,35.0,Unknown,3.3,Unknown,48.0,90.0,60.0,8.5,387.0,27.92,27.78,1.0,Finance,87901.0,Low
39.0,39.0,retsaM,0.7,Cybersecurity Analyst,66.0,68.0,99.0,0.0,395.0,9.94,85.51,Unemployed,0.0,38427.0,Medium
40.0,42.0,PhD,7.1,ML Engineer,87.0,71.5,86.0,5.0,393.0,49.66,95.13,Unknown,Healthcare,32718.0,High
41.0,31.0,High School,0.3,Cloud Engineer,87.0,65.0,69.0,6.0,252.0,49.66,49.81,1.0,Unknown,52484.0,High
42.0,26.0,3.0,10.1,Data Analyst,75.0,43.0,70.5,0.0,344.0,82.08,9.88,Student,Finance,135834.0,High
43.0,43.0,Bachelor,3.8,3.0,60.0,76.0,84.0,7.0,280.0,59.57,49.81,Employed,Finance,123208.0,High
44.0,19.0,Unknown,1.0,Software Engineer,87.0,69.0,85.0,5.0,428.0,56.22,82.91,Unknown,Education,117022.0,High
0.0,39.5,TWFzdGVy,5.7,Data Analyst,75.0,77.5,83.0,4.0,136.0,96.2,49.81,Student,Finance,82834.0,Low
46.0,45.0,Master,0.9,Unknown,60.5,70.0,40.0,3.5,463.0,44.64,39.4,Unknown,Unknown,84999.0,Unknown
47.0,24.0,loohcS hgiH,4.2,2.0,57.0,70.0,64.0,4.0,118.0,10.63,81.91,Unknown,Unknown,28937.0,Unknown
48.0,25.0,High School,0.0,Unknown,53.0,75.0,52.0,2.0,404.0,20.18,49.81,Unknown,Healthcare,99796.0,Medium
49.0,52.0,2.0,16.3,Business Analyst,65.0,63.0,64.0,4.5,182.0,73.81,42.48,Unknown,Finance,29995.0,Low
50.0,31.0,Unknown,0.3,0.0,42.0,76.0,60.0,6.0,252.0,76.66,59.05,Employed,Education,84999.0,High
0.0,36.5,PhD,3.8,Unknown,70.0,59.0,41.0,6.0,252.0,47.51,83.9,Unemployed,Healthcare,109153.0,High
52.0,53.0,3.0,8.6,ML Engineer,77.0,82.0,62.0,4.0,59.0,37.77,49.81,1.0,Retail,111683.0,Unknown
53.0,57.0,Bachelor,5.3,ML Engineer,71.0,60.0,87.0,1.0,395.0,14.66,40.68,Unknown,Education,123582.0,High
54.0,21.0,3.0,0.2,System Admin,43.0,49.5,71.0,6.0,393.0,12.97,43.94,Unknown,IT,84999.0,Low
55.0,39.0,Master,5.3,ML Engineer,88.5,68.0,86.0,4.5,289.0,49.66,26.53,3.0,Unknown,148920.0,Low
0.0,25.5,Bachelor,4.7,Unknown,70.0,53.0,90.0,4.0,59.0,49.37,49.81,Unknown,Healthcare,20051.0,Unknown
0.0,59.0,Diploma,5.0,Cybersecurity Analyst,43.0,66.0,98.0,2.0,221.0,79.61,44.79,1.0,Finance,96666.0,Low
0.0,21.0,Unknown,6.4,ML Engineer,52.0,56.0,70.0,3.0,360.0,24.25,49.81,1.0,3.0,84999.0,High
0.0,46.0,TWFzdGVy,2.0,Software Engineer,63.0,70.0,82.0,6.0,295.0,81.41,13.26,Unknown,1.0,84999.0,Unknown
60.0,35.0,UGhE,1.3,Software Engineer,48.0,74.0,64.0,4.0,189.0,49.66,64.4,Employed,IT,105712.0,High
61.0,43.0,Unknown,3.0,2.0,62.0,69.0,56.5,6.0,192.0,49.66,83.96,Student,0.0,139377.0,Unknown
0.0,51.0,3.0,2.4,Unknown,48.0,43.0,74.0,0.0,435.0,71.99,87.48,Unemployed,0.0,27316.0,High
63.0,27.0,PhD,5.8,Unknown,90.5,68.0,87.0,7.0,252.0,20.37,88.43,5.0,IT,148001.0,Low
64.0,53.0,PhD,1.6,Software Engineer,89.0,87.0,70.0,4.0,200.0,48.05,96.82,Unemployed,Healthcare,71103.0,Medium
65.0,31.0,Unknown,7.8,Cloud Engineer,89.0,77.0,67.0,1.0,36.0,49.66,30.18,Unemployed,Retail,36544.0,Medium
0.0,39.0,High School,19.5,Unknown,66.0,40.0,60.0,3.5,347.0,29.74,52.34,Employed,Unknown,47305.0,Unknown
67.0,32.0,retsaM,6.0,Unknown,93.0,44.0,64.5,4.0,334.0,82.18,9.280000000000001,Employed,1.0,141089.0,High
68.0,39.0,loohcS hgiH,3.8,System Admin,48.0,68.5,87.0,4.0,13.0,24.08,53.32,Unemployed,IT,111092.0,Medium
69.0,33.5,Diploma,0.9,Cloud Engineer,68.0,90.5,46.0,3.0,95.0,49.66,25.8,Student,0.0,125181.0,High
70.0,40.0,Bachelor,3.8,0.0,73.0,53.0,43.0,3.0,70.0,21.45,95.24,Employed,Unknown,91385.0,Unknown
71.0,57.0,Master,1.6,Unknown,84.0,44.0,71.0,7.0,3.0,72.93,82.95,Student,Healthcare,88731.0,Unknown
72.0,38.0,Unknown,4.2,System Admin,61.0,64.0,94.0,4.0,285.0,51.45,41.82,Unemployed,Manufacturing,130827.0,Low
73.0,35.5,3.0,2.9,Unknown,78.0,96.0,70.0,0.0,186.0,88.31,49.81,Student,Healthcare,29267.0,Low
74.0,35.0,Diploma,1.1,ML Engineer,49.0,46.0,75.0,0.0,38.0,30.629999999999995,22.98,Employed,Unknown,31783.0,High
75.0,39.0,PhD,7.6,3.0,57.0,70.0,56.0,2.0,356.0,11.22,86.74,Employed,Finance,57809.0,Medium
76.0,43.0,Bachelor,0.6,ML Engineer,70.0,54.5,78.0,4.0,335.0,4.76,17.07,Employed,1.0,129723.0,Unknown
77.0,42.0,Unknown,2.8,Unknown,90.5,54.0,70.0,7.0,252.0,49.66,38.46,Student,0.0,84999.0,Unknown
78.0,58.0,Bachelor,1.2,3.0,70.0,51.0,83.0,0.0,264.0,49.66,75.37,Unknown,Education,92053.0,High
79.0,46.0,High School,4.0,Software Engineer,77.0,70.0,52.0,4.0,400.0,69.45,14.81,1.0,Retail,122705.0,Unknown
80.0,32.0,9.0,9.9,ML Engineer,47.0,74.0,79.0,7.0,38.5,12.5,49.81,Unemployed,Manufacturing,126880.0,Low
81.0,39.0,Diploma,11.1,Business Analyst,97.0,78.0,56.0,0.0,119.0,49.66,84.73,Employed,3.0,81441.0,Medium
0.0,42.0,Bachelor,3.8,Unknown,72.5,94.0,80.0,2.5,67.0,63.47,23.32,Student,Finance,112655.0,Low
0.0,24.0,Diploma,1.4,Unknown,82.0,82.0,91.0,4.0,320.0,15.98,48.32,5.0,Education,96231.0,Unknown
0.0,26.0,UGhE,2.4,Business Analyst,70.0,70.0,70.0,0.0,252.0,39.11,10.6,Employed,Education,88509.0,Medium
85.0,39.0,Diploma,5.8,Business Analyst,70.0,85.0,46.0,5.0,300.5,29.91,53.69,Unknown,Education,63089.0,Medium
86.0,18.0,Unknown,3.8,Cloud Engineer,98.0,55.0,56.0,4.0,75.0,26.16,49.81,Student,Retail,114583.0,High
87.0,25.0,Diploma,3.8,System Admin,66.5,70.0,41.0,4.0,252.0,68.51,65.0,Unemployed,Healthcare,136567.0,Low
88.0,41.0,TWFzdGVy,1.6,Software Engineer,70.0,79.0,78.0,2.0,408.0,86.55,28.42,Unknown,2.0,87004.0,Low
89.0,28.0,Bachelor,3.8,Software Engineer,74.0,70.0,66.0,3.0,252.0,49.66,30.77,Unemployed,Finance,137816.0,Low
90.0,34.0,2.0,4.1,Unknown,60.0,89.0,70.0,5.0,494.0,58.34,55.83,5.0,Unknown,48342.0,Low
0.0,25.0,High School,0.2,Software Engineer,52.0,50.0,85.0,5.0,252.0,30.980000000000004,80.46,Employed,Education,25500.0,High
92.0,52.0,Master,2.8,5.0,79.0,70.0,41.0,7.0,252.0,39.23,8.69,Unemployed,Education,134045.0,Low
93.0,52.0,TWFzdGVy,3.8,Business Analyst,70.0,99.0,89.0,7.0,229.0,64.39,21.32,Employed,Unknown,87052.0,Low
94.0,50.0,2.0,1.0,Unknown,45.0,82.0,96.0,7.0,85.0,7.14,16.09,Unemployed,IT,126571.0,Low
95.0,24.5,Unknown,9.3,Software Engineer,84.0,45.0,57.0,2.0,252.0,23.5,92.05,Unknown,Manufacturing,115045.0,High
96.0,39.0,High School,27.5,Cloud Engineer,73.0,40.0,46.0,3.0,92.0,88.62,41.98,Unemployed,Finance,92364.0,Low
97.0,56.0,High School,2.5,Unknown,79.0,91.0,95.0,4.0,298.0,75.86,49.81,Unknown,Finance,50859.0,Medium
98.0,58.0,3.0,3.0,ML Engineer,52.0,68.0,68.0,7.0,111.0,48.89,67.19,Unknown,Unknown,84999.0,Low
99.0,45.0,2.0,1.7,Cloud Engineer,54.0,85.0,84.0,4.0,353.0,95.0,3.38,Student,1.0,95844.0,Low
100.0,26.5,2.0,3.8,Software Engineer,40.0,55.0,88.0,6.0,83.0,13.91,52.71,5.0,0.0,123044.0,Medium
0.0,26.0,Unknown,3.8,Unknown,57.0,70.0,73.0,1.0,80.0,65.01,60.71,Unknown,IT,84999.0,Medium
102.0,25.0,Master,9.4,Cloud Engineer,70.0,76.0,70.0,6.0,406.0,49.66,13.6,Student,Healthcare,84999.0,Unknown
103.0,29.0,loohcS hgiH,5.5,System Admin,50.0,70.0,73.0,4.0,314.0,49.66,24.72,1.0,IT,55272.0,Low
104.0,53.5,Unknown,0.6,ML Engineer,88.0,97.0,56.0,3.5,252.0,82.14,66.03,Unemployed,Unknown,91618.0,High
105.0,50.0,Unknown,4.7,Unknown,85.5,58.0,60.5,6.0,252.0,1.13,69.25,Unknown,1.0,102912.0,Unknown
106.0,40.0,2.0,5.1,Cybersecurity Analyst,67.0,70.0,90.0,3.0,252.0,29.07,28.89,Unemployed,5.0,71279.0,Unknown
107.0,43.5,rolehcaB,5.9,System Admin,43.0,47.0,71.5,2.0,445.0,74.15,92.59,3.0,Finance,80987.0,High
108.0,54.0,DhP,0.4,2.0,72.0,56.0,52.0,1.0,252.0,87.44,49.72,Unemployed,0.0,141582.0,Medium
109.0,54.5,High School,6.0,Unknown,72.0,81.0,91.0,0.0,73.0,35.55,49.81,Employed,Unknown,74247.0,Low
0.0,39.0,Bachelor,4.6,Unknown,86.0,46.0,89.0,4.0,123.5,98.17,68.07,Employed,5.0,84999.0,Medium
0.0,39.0,Master,10.1,Unknown,54.0,69.5,60.5,1.0,147.0,89.16,49.81,Student,2.0,145136.0,Medium
112.0,44.0,loohcS hgiH,0.9,Cloud Engineer,70.0,94.0,70.0,2.0,172.0,45.77,68.81,Student,Retail,149610.0,Medium
0.0,52.0,Master,0.3,5.0,95.0,44.0,70.0,2.0,252.0,49.66,32.57,Student,5.0,37446.0,Medium
114.0,20.5,High School,8.4,5.0,70.0,43.0,90.0,4.0,252.0,88.91,32.91,Student,2.0,84999.0,Low
115.0,52.0,PhD,0.5,Software Engineer,63.0,70.0,71.0,4.0,252.0,43.36,19.91,Employed,Finance,99454.0,High
116.0,39.0,PhD,2.4,29.0,47.0,92.0,40.0,4.0,159.5,92.31,51.9,1.0,0.0,36566.0,High
0.0,33.5,Bachelor,10.2,ML Engineer,86.0,47.0,74.0,4.0,455.5,82.0,29.56,Employed,3.0,29127.0,Unknown
0.0,20.0,9.0,4.1,Unknown,92.0,46.0,67.0,1.0,62.0,5.29,20.58,Student,IT,38167.0,Unknown
119.0,18.0,Unknown,2.9,System Admin,72.0,70.0,52.0,4.0,252.0,7.47,92.62,3.0,Education,131574.0,High
120.0,24.5,High School,4.8,29.0,70.0,88.0,44.0,0.0,452.0,68.91,56.63,Student,2.0,21557.0,Low
0.0,43.0,retsaM,5.1,Cloud Engineer,56.0,77.5,70.0,8.5,24.0,34.95,49.81,1.0,Healthcare,107000.0,Unknown
122.0,33.5,Master,3.8,ML Engineer,41.0,68.0,74.0,7.0,100.0,30.2,52.61,Unknown,Finance,148396.0,Medium
0.0,56.0,High School,0.3,Unknown,68.0,80.0,99.0,0.0,80.0,8.01,35.91,3.0,Education,92377.0,Unknown
124.0,44.0,Diploma,7.5,Unknown,44.0,49.0,42.0,7.0,13.0,77.87,47.44,Unknown,IT,59971.0,Unknown
125.0,39.0,Diploma,7.9,Unknown,79.0,70.0,89.0,4.0,272.0,49.66,49.81,Employed,IT,84999.0,Low
126.0,32.0,Diploma,0.6,Data Analyst,92.0,79.0,50.0,5.0,25.0,30.92,15.66,1.0,1.0,56278.0,Unknown
127.0,39.0,2.0,9.2,System Admin,70.0,57.0,70.0,7.0,214.0,15.06,49.81,Unknown,0.0,136216.0,Unknown
128.0,43.0,Unknown,3.5,0.0,73.5,42.0,97.0,5.0,252.0,83.94,19.93,3.0,Manufacturing,84999.0,High
0.0,59.0,UGhE,0.1,Data Analyst,91.0,70.0,42.0,4.0,281.5,88.59,88.26,Unknown,Healthcare,108873.0,Unknown
130.0,30.0,2.0,5.9,ML Engineer,70.0,88.0,50.0,5.0,313.0,26.54,75.08,Student,Healthcare,87330.0,Low
131.0,49.0,PhD,3.1,ML Engineer,70.0,78.0,70.0,6.0,287.0,51.24,54.74,Student,Education,51996.0,Unknown
132.0,56.0,Unknown,0.7,5.0,91.0,90.0,60.0,2.0,426.0,51.25,49.81,Unknown,Healthcare,84999.0,Unknown
133.0,49.0,PhD,1.0,5.0,98.0,42.0,51.0,4.0,252.0,95.4,43.51,Unknown,Retail,130903.0,Medium
134.0,21.0,High School,7.1,5.0,77.0,44.0,70.0,6.0,141.0,98.72,49.81,Unemployed,Unknown,84999.0,Medium
135.0,39.0,PhD,14.5,Cybersecurity Analyst,70.0,61.0,92.0,0.0,484.0,0.23,48.64,3.0,Healthcare,84999.0,Medium
0.0,39.0,Unknown,3.8,Cybersecurity Analyst,95.0,70.0,70.0,3.0,491.0,13.74,41.81,Unemployed,Manufacturing,84999.0,Medium
0.0,40.0,UGhE,2.6,Cybersecurity Analyst,57.0,62.0,70.0,1.0,354.0,89.11,67.25,3.0,Manufacturing,138333.0,Low
138.0,56.0,DhP,1.9,3.0,50.0,91.0,56.0,5.0,293.0,77.9,4.55,Unemployed,Healthcare,43545.0,Medium
139.0,32.0,2.0,4.4,Software Engineer,70.0,59.0,60.0,2.0,252.0,47.96,97.46,5.0,IT,91497.0,Low
140.0,46.0,3.0,1.1,Cybersecurity Analyst,65.0,50.5,67.0,3.0,252.0,22.11,71.71,Unemployed,TI,46002.0,Unknown
141.0,53.0,Unknown,4.3,System Admin,76.0,86.0,79.0,4.0,55.5,37.73,49.81,Student,Manufacturing,25750.0,Medium
0.0,39.0,Unknown,8.9,ML Engineer,91.0,70.0,48.0,3.0,318.0,66.31,49.81,Unemployed,Education,35565.0,High
143.0,49.0,Unknown,3.8,Software Engineer,80.0,97.0,70.0,3.0,251.0,41.89,49.81,Employed,Finance,133369.0,Medium
144.0,39.0,TWFzdGVy,1.1,Unknown,70.0,70.0,55.0,4.0,252.0,11.26,80.57,Student,Finance,86881.0,Medium
145.0,39.0,3.0,3.8,Cybersecurity Analyst,99.0,81.0,53.5,4.0,132.0,88.42,49.81,Unknown,Unknown,55987.0,High
146.0,45.0,2.0,3.1,Unknown,61.0,70.0,98.5,0.0,252.0,25.33,49.81,Unemployed,Unknown,32192.0,Medium
147.0,39.0,Master,3.0999999999999996,Cloud Engineer,70.0,57.5,51.5,4.0,128.0,32.55,57.03,Unknown,Manufacturing,111154.0,High
148.0,59.0,UGhE,2.0,3.0,70.0,70.0,54.0,3.0,172.5,49.66,37.03,3.0,IT,74412.0,Unknown
149.0,39.0,Unknown,1.4,3.0,83.0,92.0,47.5,5.0,252.0,80.42,67.25,1.0,Finance,131413.0,Low
150.0,45.0,Diploma,11.8,3.0,44.0,93.0,99.0,1.0,488.0,2.5,49.81,5.0,1.0,84999.0,Unknown
0.0,47.5,Unknown,3.8,System Admin,42.0,55.0,70.0,2.0,376.0,49.66,37.05,1.0,Retail,144062.0,Low
0.0,39.0,amolpiD,3.6,2.0,74.0,82.0,83.0,3.0,252.0,52.21,58.15,Unknown,Retail,137664.0,Unknown
0.0,49.5,UGhE,5.3,5.0,87.5,70.0,75.0,4.0,322.0,62.32,5.41,Student,Retail,62935.0,Low
154.0,28.0,Unknown,2.8,Unknown,85.0,70.0,44.0,5.0,377.0,42.98,71.12,1.0,Manufacturing,120109.0,Medium
0.0,45.0,Bachelor,0.8,0.0,70.0,52.0,75.0,4.0,6.0,35.77,49.81,Unemployed,Manufacturing,85230.0,Low
156.0,44.5,Unknown,7.7,Cybersecurity Analyst,84.0,59.0,78.0,4.0,400.0,49.66,81.39,Employed,0.0,45049.0,Unknown
157.0,56.0,3.0,2.1,Cloud Engineer,54.0,73.0,70.0,2.0,252.0,49.66,91.65,Student,Unknown,132552.0,Unknown
158.0,50.0,Master,3.8,Data Analyst,70.0,92.5,45.0,2.0,40.0,49.66,49.81,Unemployed,Unknown,84999.0,Medium
0.0,18.0,Diploma,7.1,5.0,92.0,70.0,70.0,4.0,150.0,63.34,49.81,3.0,Education,135226.0,High
160.0,44.0,Master,3.8,5.0,64.5,83.0,94.0,1.0,197.0,49.66,49.9,Employed,Education,63035.0,Low
161.0,30.0,9.0,4.4,Unknown,70.0,43.0,70.0,2.0,164.0,60.64,49.81,3.0,Unknown,149577.0,Medium
162.0,60.5,High School,3.4,5.0,70.0,65.0,56.0,4.0,197.5,1.45,18.74,Unemployed,Unknown,95628.0,High
163.0,20.0,TWFzdGVy,2.5,Cloud Engineer,70.0,93.5,59.0,7.0,153.0,67.98,80.05,Employed,1.0,84999.0,Unknown
0.0,56.0,2.0,0.8,Unknown,53.0,96.0,70.0,7.0,300.0,26.03,85.68,Employed,Unknown,84999.0,High
165.0,39.0,Diploma,18.0,Business Analyst,64.5,75.0,65.0,4.0,441.0,49.66,38.26,Employed,Retail,83999.0,High
166.0,39.0,Bachelor,5.1,Cybersecurity Analyst,77.0,70.0,76.0,3.0,483.0,35.53,41.19,Employed,Finance,90387.0,High
167.0,44.0,TWFzdGVy,1.1,Business Analyst,81.5,74.0,44.0,4.0,420.0,17.33,66.89,Student,Finance,73711.0,High
0.0,26.0,Master,9.1,Software Engineer,48.0,60.0,52.0,4.0,252.0,76.37,47.67,Unemployed,Manufacturing,84999.0,Unknown
169.0,54.0,Bachelor,3.8,Business Analyst,54.0,69.0,70.0,4.0,252.0,9.09,49.81,Employed,Education,108437.0,Unknown
170.0,50.0,Bachelor,3.8,Business Analyst,76.0,70.0,88.0,0.0,70.5,26.18,81.56,3.0,2.0,145273.0,High
171.0,61.5,PhD,3.8,Software Engineer,83.0,60.0,83.0,2.0,381.0,82.17,41.66,Employed,TI,84999.0,Medium
172.0,39.0,PhD,0.1,2.0,70.0,77.0,42.0,5.5,214.0,53.12,57.55,Employed,Education,48028.0,Unknown
173.0,32.0,9.0,6.2,System Admin,83.0,62.0,62.0,4.0,458.0,99.17,53.21,3.0,Unknown,111624.0,Unknown
0.0,39.0,Master,1.1,5.0,50.5,70.0,71.0,0.0,99.0,49.66,71.83,Employed,Unknown,35379.0,Low
175.0,49.0,3.0,11.7,5.0,71.0,77.0,70.0,4.0,277.0,49.66,76.87,Employed,Retail,61452.0,Medium
0.0,41.0,Bachelor,8.1,Unknown,97.0,92.0,50.0,3.0,483.0,59.59,1.15,5.0,Retail,84999.0,Medium
177.0,58.0,High School,2.3,Cybersecurity Analyst,56.0,70.0,81.0,7.0,417.0,49.66,49.81,Unknown,Manufacturing,145167.0,Low
0.0,29.0,UGhE,3.3,Business Analyst,70.0,70.0,70.0,4.0,252.0,49.66,74.35,5.0,Unknown,84999.0,Medium
179.0,56.0,High School,3.5,Unknown,42.0,67.0,73.0,1.0,181.0,72.39,13.1,Unemployed,Manufacturing,84999.0,High
180.0,21.5,3.0,2.4,Unknown,86.0,70.0,42.0,4.0,121.0,49.66,49.81,Employed,Finance,147702.0,Medium
181.0,20.0,Master,3.8,Data Analyst,70.0,87.0,70.0,4.0,418.0,49.66,30.74,Employed,IT,86251.0,Medium
182.0,54.0,Unknown,25.9,Cloud Engineer,70.0,66.0,52.0,1.0,469.0,5.71,3.97,1.0,Manufacturing,84999.0,Unknown
0.0,34.0,2.0,9.4,2.0,70.0,83.0,96.0,4.0,317.0,50.96,38.08,Unknown,Healthcare,84999.0,Unknown
184.0,19.0,PhD,0.9,Business Analyst,77.0,74.5,45.0,4.5,86.5,44.54,28.14,Student,Education,41166.0,Medium
185.0,19.0,Diploma,0.2,Data Analyst,98.0,70.0,70.5,5.5,282.5,49.66,74.44,Student,Healthcare,67747.0,High
0.0,39.0,Unknown,2.1,Unknown,72.0,48.0,50.5,7.0,10.0,71.4,77.84,3.0,Manufacturing,114782.0,Medium
187.0,39.0,Diploma,6.5,System Admin,72.0,57.0,46.0,6.0,432.0,87.26,47.03,Student,Education,47778.0,High
188.0,54.0,PhD,13.9,0.0,70.0,61.0,69.0,7.0,252.0,26.28,13.75,5.0,Manufacturing,27628.0,Unknown
189.0,51.5,loohcS hgiH,0.7,Unknown,54.0,51.0,42.0,4.5,186.0,19.67,82.77,Student,2.0,24836.0,Unknown
190.0,50.0,PhD,2.9,5.0,70.0,54.0,92.5,4.0,276.0,90.11,49.81,Employed,Manufacturing,84999.0,Low
0.0,18.0,Unknown,1.0,Data Analyst,69.0,44.0,99.0,4.0,406.0,33.08,33.46,Unemployed,Unknown,84999.0,High
192.0,36.0,PhD,0.4,Software Engineer,56.0,93.0,70.0,6.0,80.0,20.2,34.32,Employed,IT,102073.0,Unknown
193.0,19.0,High School,4.6,5.0,80.0,47.0,60.0,6.0,166.0,29.44,46.9,5.0,Healthcare,84999.0,Medium
194.0,43.0,High School,3.8,Unknown,42.0,70.0,70.0,3.0,178.0,88.5,30.74,1.0,Manufacturing,76455.0,Low
195.0,49.0,PhD,6.4,ML Engineer,97.0,49.5,70.0,7.5,97.5,74.51,11.13,Employed,0.0,67869.0,Low
0.0,25.5,2.0,4.0,3.0,73.0,76.5,96.0,2.0,387.0,48.94,72.02,1.0,IT,144029.0,High
197.0,49.0,Unknown,1.3,Data Analyst,68.0,70.0,94.0,4.0,490.0,49.66,97.69,3.0,Manufacturing,84999.0,Medium
198.0,21.0,Diploma,7.9,Unknown,85.5,98.0,52.0,3.0,28.0,49.66,49.81,Unemployed,Education,58246.0,Unknown
0.0,30.5,Unknown,6.0,Unknown,96.0,97.0,64.0,3.0,382.0,94.65,91.9,Unemployed,Unknown,84999.0,Unknown
200.0,39.0,High School,4.9,3.0,70.0,63.0,82.0,0.0,11.0,33.49,85.3,Unknown,Unknown,84999.0,Unknown
